ID	|V|	|E|	tw	time	evaltw	prunenum	funccallnum	evalGNNtime
00000	33	107	12.0	TimeOut
00001	10	25	5.0	1.9677090644836426	4	1	595	1.8802695274353027
00002	22	101	10.0	TimeOut
00003	36	628	34.0	TimeOut
00004	10	32	6.0	4.822946548461914	5	16	1702	4.60941743850708
00005	33	490	29.0	TimeOut
00006	24	83	11.0	TimeOut
00007	30	272	21.0	TimeOut
00008	34	375	22.0	TimeOut
00009	42	824	37.0	TimeOut
00010	32	454	28.0	TimeOut
00011	28	180	10.0	TimeOut
00012	31	184	16.0	0.27320289611816406	17	16	24	0.2699861526489258
00013	20	159	16.0	TimeOut
00014	18	153	17.0	TimeOut
00015	41	210	6.0	TimeOut
00016	43	438	30.0	5.905275821685791	23	22	558	3.227491855621338
00017	43	680	31.0	TimeOut
00018	35	112	12.0	TimeOut
00019	19	155	15.0	TimeOut
00020	39	290	10.0	TimeOut
00021	18	101	11.0	1.4010803699493408	10	9	300	1.2425086498260498
00022	47	654	33.0	TimeOut
00023	21	210	20.0	TimeOut
00024	28	94	10.0	TimeOut
00025	9	30	6.0	0.5616214275360107	6	5	181	0.547325849533081
00026	23	249	20.0	TimeOut
00027	40	152	16.0	TimeOut
00028	13	30	3.0	5.199315786361694	4	0	1548	4.86502480506897
00029	26	94	12.0	TimeOut
00030	22	57	8.0	TimeOut
00031	34	301	22.0	TimeOut
00032	14	89	12.0	TimeOut
00033	15	16	2.0	1.6429336071014404	3	0	376	1.551943063735962
00034	49	174	17.0	TimeOut
00035	14	80	10.0	1.2886230945587158	8	7	370	1.1982288360595703
00036	49	510	29.0	0.6151103973388672	26	25	50	0.5975151062011719
00037	43	432	15.0	TimeOut
00038	24	23	1.0	0.2366318702697754	2	0	46	0.21059560775756836
00039	25	300	24.0	TimeOut
00040	11	18	4.0	3.1869709491729736	4	1	909	3.0299899578094482
00041	46	1035	45.0	TimeOut
00042	42	264	23.0	0.36983323097229004	22	21	35	0.3629331588745117
00043	28	234	16.0	TimeOut
00044	36	315	14.0	TimeOut
00045	25	207	18.0	0.46588587760925293	14	13	49	0.4069483280181885
00046	37	248	23.0	0.32193660736083984	20	19	31	0.31649065017700195
00047	47	159	17.0	TimeOut
00048	33	126	13.0	TimeOut
00049	32	426	26.0	TimeOut
